title,genre,age
베테랑2,액션,15
조커: 폴리 아 되,드라마,15
대도시의 사랑법,드라마,15
와일드 로봇,애니메이션,
트랜스포머 ONE,애니메이션, 액션,
명탐정 코난: 시한장치의 마천루,애니메이션,12
사랑의 하츄핑,애니메이션,
극장판 엉덩이 탐정: 안녕, 나의 영원한 친구,애니메이션,
브레드이발소: 빵스타의 탄생,애니메이션,
